plantMASST	NCBI_Genome	Transcriptome
Ximenia americana	Tussilago farfara	Vinca minor
Xerosicyos pubescens	Turnera subulata	Vigna vexillata
Xerosicyos perrieri	Triticum urartu	Vigna unguiculata
Xerosicyos danguyi	Triticum turgidum	Vigna umbellata
Xerophyta schlechteri	Triticum monococcum	Vigna radiata
Xerophyta dasylirioides	Triticum dicoccoides	Vigna mungo
Xeronema callistemon	Triticum aestivum	Vigna angularis
Xanthosoma sagittifolium	Tripterygium wilfordii	Vicia villosa
Xanthoceras sorbifolium	Tripidium arundinaceum	Vicia faba
Xanthium strumarium	Trifolium subterraneum	Vicia cracca
Wurfbainia villosa	Trifolium repens	Viburnum opulus
Wrightia arborea	Trifolium pratense	Veronica longifolia
Wollemia nobilis	Trifolium medium	Verbena officinalis
Withania somnifera	Trifolium fragiferum	Verbena hastata
Wisteria sinensis	Trifolium dubium	Verbena bonariensis
Wisteria frutescens	Trichosanthes cucumerina	Verbascum thapsus
Wisteria brachybotrys	Tragopogon pratensis	Verbascum nigrum
Wikstroemia trichotoma	Torreya grandis	Veratrum nigrum
Wikstroemia stenophylla	Torilis japonica	Vatairea guianensis
Wikstroemia scytophylla	Tinospora crispa	Vanilla planifolia
Wikstroemia pilosa	Thymus vulgaris	Valeriana officinalis
Wikstroemia nutans	Thymus quinquecostatus	Valeriana jatamansi
Wikstroemia micrantha	Thuja plicata	Vaccinium macrocarpon
Wikstroemia ligustrina	Thlaspi arvense	Vaccinium darrowii
Wikstroemia lichiangensis	Theobroma grandiflorum	Vaccinium corymbosum
Wikstroemia indica	Theobroma cacao	Vaccinium bracteatum
Wikstroemia dolichantha	Thalictrum thalictroides	Urtica dioica
Wikstroemia delavayi	Thalictrum minus	Urtica cannabina
Wikstroemia alternifolia	Teucrium scorodonia	Uncarina grandidieri
Whitfieldia elongata	Taxus chinensis	Uncaria guianensis
Welwitschia mirabilis	Tarenaya hassleriana	Ulmus parvifolia
Weinmannia pinnata	Tanacetum vulgare	Ulmus macrocarpa
Weigela florida	Tanacetum parthenium	Ulmus americana
Waltheria indica	Tanacetum coccineum	Typha latifolia
Wahlenbergia marginata	Tamarix chinensis	Tussilago farfara
Vitis vinifera	Talinum fruticosum	Turnera subulata
Vitis rotundifolia	Tagetes patula	Tsuga heterophylla
Vitis riparia	Tagetes erecta	Tropaeolum peregrinum
Vitis labrusca	Syzygium malaccense	Tropaeolum majus
Vitex trifolia	Syzygium jambos	Trochodendron aralioides
Vitex pinnata	Syzygium aromaticum	Triticum urartu
Vitex peduncularis	Syringodium filiforme	Triticum turgidum
Vitex agnus-castus	Symphonia globulifera	Triticum spelta
Viscum diospyrosicola	Swietenia macrophylla	Triticum monococcum
Viscum coloratum	Succisa pratensis	Triticum dicoccoides
Viscum album	Styphnolobium japonicum	Triticum aestivum
Virola sebifera	Stylosanthes scabra	Tripterygium wilfordii
Viola yunnanfuensis	Stevia rebaudiana	Tripterygium hypoglaucum
Viola tricolor	Stephania japonica	Tripterospermum cordatum
Viola mandshurica	Stellera chamaejasme	Tripidium arundinaceum
Vincetoxicum stauntonii	Spirodela polyrhiza	Trigonella foenum-graecum
Vincetoxicum paniculatum	Spinacia oleracea	Trifolium subterraneum
Vincetoxicum hirundinaria	Sorghum bicolor	Trifolium repens
Vincetoxicum atratum	Sophora flavescens	Trifolium pratense
Vinca minor	Solanum verrucosum	Trifolium fragiferum
Vigna vexillata	Solanum tuberosum	Trifolium dubium
Vigna unguiculata	Solanum pinnatisectum	Tridax procumbens
Vigna umbellata	Solanum pimpinellifolium	Trichosanthes rosthornii
Vigna radiata	Solanum peruvianum	Trichosanthes kirilowii
Vigna mungo	Solanum pennellii	Trichosanthes dunniana
Vigna angularis	Solanum nigrum	Trichomanes maximum
Vicia villosa	Solanum lycopersicum	Trichilia tuberculata
Vicia faba	Solanum habrochaites	Tribulus terrestris
Vicia cracca	Solanum dulcamara	Tragopogon pratensis
Vicia amoena	Solanum commersonii	Tragopogon porrifolius
Viburnum tinus	Solanum chilense	Tradescantia pallida
Viburnum sambucinum	Solanum bulbocastanum	Trachycarpus fortunei
Viburnum rufidulum	Solanum arcanum	Torreya grandis
Viburnum prunifolium	Solanum americanum	Torilis japonica
Viburnum opulus	Smallanthus sonchifolius	Torenia fournieri
Viburnum lantana	Sinapis alba	Tithonia rotundifolia
Viburnum foetidum	Simmondsia chinensis	Tillandsia usneoides
Viburnum dentatum	Silybum marianum	Tilia americana
Viburnum cylindricum	Silene vulgaris	Tiarella polyphylla
Viburnum brachybotryum	Setaria viridis	Thymus vulgaris
Viburnum acerifolium	Setaria italica	Thymus serpyllum
Verrucularina glaucophylla	Sesbania bispinosa	Thymus quinquecostatus
Veronicastrum virginicum	Sesamum radiatum	Thunbergia alata
Veronica teucrium	Sesamum indicum	Thuja plicata
Veronica spicata	Sequoiadendron giganteum	Thuja occidentalis
Veronica orchidea	Senna tora	Thlaspi arvense
Veronica officinalis	Senna siamea	Theobroma grandiflorum
Veronica longifolia	Selenicereus undatus	Theobroma cacao
Veronica incana	Selaginella tamariscina	Thalictrum thalictroides
Veronica chamaedrys	Selaginella moellendorffii	Thalictrum minus
Vernonia elaeagnifolia	Selaginella kraussiana	Tetrapanax papyrifer
Verbena officinalis	Sedum album	Taxus chinensis
Verbena hastata	Secale cereale	Taxus baccata
Verbena bonariensis	Scutellaria barbata	Tarenaya hassleriana
Verbascum thapsus	Scutellaria baicalensis	Taraxacum officinale
Verbascum nigrum	Scurrula parasitica	Tanacetum vulgare
Verbascum densiflorum	Schizonepeta tenuifolia	Tanacetum parthenium
Veratrum nigrum	Saururus chinensis	Tanacetum coccineum
Ventilago madraspatana	Sarracenia flava	Tanacetum balsamita
Ventilago leiocarpa	Saposhnikovia divaricata	Tamarix chinensis
Ventilago denticulata	Saponaria officinalis	Talinum paniculatum
Vatairea guianensis	Sanguinaria canadensis	Talinum fruticosum
Vasconcellea quercifolia	Sambucus nigra	Tagetes patula
Varronia multispicata	Salvia splendens	Tagetes erecta
Vanilla planifolia	Salvia sclarea	Syzygium samarangense
Valeriana officinalis	Salvia rosmarinus	Syzygium malaccense
Valeriana jatamansi	Salvia officinalis	Syzygium jambos
Valeriana fauriei	Salvia miltiorrhiza	Syzygium cumini
Valeriana dageletiana	Salvia hispanica	Syzygium buxifolium
Vachellia harmandiana	Salvia divinorum	Syzygium aromaticum
Vachellia farnesiana	Salsola tragus	Synsepalum dulcificum
Vaccinium urceolatum	Salix cinerea	Symphytum officinale
Vaccinium parvifolium	Sageretia thea	Symphonia globulifera
Vaccinium macrocarpon	Saccharum officinarum	Swietenia macrophylla
Vaccinium fragile	Rumex scutatus	Swertia bimaculata
Vaccinium darrowii	Rudbeckia hirta	Sweetia fruticosa
Vaccinium corymbosum	Rubus parviflorus	Swartzia simplex
Vaccinium bracteatum	Rubus idaeus	Styphnolobium japonicum
Vaccinium angustifolium	Rubus argutus	Stylosanthes scabra
Urtica dioica	Rubia tinctorum	Stylidium debile
Urtica cannabina	Rosa rugosa	Stryphnodendron pulcherrimum
Urera verrucosa	Rosa multiflora	Strychnos nux-vomica
Urera baccifera	Rosa laevigata	Strophostyles helvola
Uraria crinita	Rosa chinensis	Strelitzia reginae
Uncarina grandidieri	Rosa canina	Stranvaesia davidiana
Uncarina decaryi	Ricinus communis	Stevia rebaudiana
Uncaria tomentosa	Riccia sorocarpa	Sterculia lanceolata
Uncaria sinensis	Ribes uva-crispa	Stephania japonica
Uncaria homomalla	Ribes nigrum	Stenochlaena palustris
Uncaria guianensis	Rhodiola kirilowii	Stellera chamaejasme
Uncaria gambir	Rhizophora mangle	Staphylea trifolia
Ulmus rubra	Rhizophora apiculata	Stachyurus praecox
Ulmus parvifolia	Reynoutria japonica	Sporobolus anglicus
Ulmus macrocarpa	Rehmannia glutinosa	Spirodela polyrhiza
Ulmus americana	Raphanus sativus	Spinacia oleracea
Typhonodorum lindleyanum	Radula complanata	Sphagneticola trilobata
Typhonium trilobatum	Quercus suber	Sphagneticola calendulacea
Typha orientalis	Quercus rubra	Spathodea campanulata
Typha latifolia	Quercus phellos	Sparganium stoloniferum
Tussilago farfara	Quercus petraea	Sorghum bicolor
Turraea sericea	Quercus lobata	Sorbus aucuparia
Turnera ulmifolia	Quercus ilex	Sophora tonkinensis
Turnera subulata	Quercus glauca	Sophora flavescens
Turnera diffusa	Quercus alba	Solidago virgaurea
Tsuga heterophylla	Pyrus communis	Solena amplexicaulis
Tropaeolum peregrinum	Pyracantha coccinea	Solanum verrucosum
Tropaeolum majus	Punica granatum	Solanum umbelliferum
Trochodendron aralioides	Pueraria montana	Solanum tuberosum
Triticum urartu	Pterocarpus macrocarpus	Solanum swartzianum
Triticum turgidum	Psophocarpus tetragonolobus	Solanum stramoniifolium
Triticum spelta	Psidium guajava	Solanum sessiliflorum
Triticum monococcum	Pseudoturritis turrita	Solanum quitoense
Triticum dicoccoides	Pseudotsuga menziesii	Solanum pseudoquina
Triticum aestivum	Prunus persica	Solanum pinnatisectum
Trisetum flavescens	Prunus mume	Solanum pimpinellifolium
Tripterygium wilfordii	Prunus mongolica	Solanum peruvianum
Tripterygium hypoglaucum	Prunus dulcis	Solanum pennellii
Tripterospermum cordatum	Prunus avium	Solanum nigrum
Triplochiton scleroxylon	Prunus armeniaca	Solanum melongena
Tripidium arundinaceum	Prunella vulgaris	Solanum macrocarpon
Trigonella foenum-graecum	Primula vulgaris	Solanum lycopersicum
Trifolium subterraneum	Primula veris	Solanum lasiocarpum
Trifolium rubens	Portulaca oleracea	Solanum habrochaites
Trifolium repens	Populus trichocarpa	Solanum dulcamara
Trifolium pratense	Populus nigra	Solanum commersonii
Trifolium medium	Populus deltoides	Solanum cladotrichum
Trifolium fragiferum	Populus alba	Solanum chilense
Trifolium dubium	Polytrichum strictum	Solanum capsicoides
Trifolium campestre	Polystichum acrostichoides	Solanum bulbocastanum
Trifolium alpestre	Polygonum aviculare	Solanum betaceum
Tridax procumbens	Pogostemon cablin	Solanum asperum
Trichostigma peruvianum	Poa pratensis	Solanum argenteum
Trichosanthes rosthornii	Plectranthus barbatus	Solanum arcanum
Trichosanthes kirilowii	Platycodon grandiflorus	Solanum aphyodendron
Trichosanthes dunniana	Plantago media	Solanum americanum
Trichosanthes cucumerina	Plantago lanceolata	Smallanthus sonchifolius
Trichomanes maximum	Pittosporum tobira	Sisymbrium officinale
Trichilia tuberculata	Pistacia vera	Sinomenium acutum
Trichilia prieureana	Pistacia atlantica	Sinapis alba
Trichilia pleeana	Piper sarmentosum	Simmondsia chinensis
Trichilia elegans	Piper longum	Simarouba amara
Trichilia claussenii	Piper betle	Silybum marianum
Trichilia catigua	Pinus taeda	Silene vulgaris
Tribulus terrestris	Pinus tabuliformis	Silene dioica
Tragopogon pratensis	Pinus sylvestris	Sigesbeckia pubescens
Tragopogon porrifolius	Pinus radiata	Setaria viridis
Tradescantia zebrina	Picea mariana	Setaria italica
Tradescantia virginiana	Picea glauca	Setaria barbata
Tradescantia spathacea	Picea engelmannii	Sesbania bispinosa
Tradescantia pallida	Picea abies	Sesamum radiatum
Tradescantia ohiensis	Phytolacca americana	Sesamum indicum
Tradescantia fluminensis	Phtheirospermum japonicum	Serenoa repens
Trachycarpus fortunei	Phragmites australis	Sequoiadendron giganteum
Trachelospermum asiaticum	Phormium tenax	Senna tora
Toxicopueraria peduncularis	Phoenix roebelenii	Senna siamea
Toxicodendron vernix	Phoenix dactylifera	Senna obtusifolia
Tovomita obovata	Phleum pratense	Senna hebecarpa
Torreya grandis	Phaseolus vulgaris	Senna alexandrina
Torilis japonica	Phaseolus lunatus	Senecio scandens
Torenia fournieri	Phaseolus coccineus	Selenicereus undatus
Tithonia rotundifolia	Petunia x hybrida	Selaginella uncinata
Tinospora crispa	Petasites hybridus	Selaginella tamariscina
Tinospora baenzigeri	Persea americana	Selaginella moellendorffii
Tillandsia usneoides	Perilla frutescens	Selaginella lepidophylla
Tiliacora triandra	Penstemon eatonii	Selaginella kraussiana
Tilia tomentosa	Penstemon davidsonii	Seguieria aculeata
Tilia americana	Paulownia tomentosa	Sedum album
Tibouchina calycina	Paulownia fortunei	Secale cereale
Tibouchina bicolor	Passiflora edulis	Scutellaria baicalensis
Tiarella polyphylla	Paspalum vaginatum	Scurrula parasitica
Thyrsanthera suborbicularis	Paspalum notatum	Scrophularia nodosa
Thymus vulgaris	Parietaria judaica	Sciadopitys verticillata
Thymus serpyllum	Papaver somniferum	Schizonepeta tenuifolia
Thymus quinquecostatus	Papaver nudicaule	Schizachyrium scoparium
Thymus praecox	Papaver bracteatum	Schisandra chinensis
Thymus camphoratus	Papaver atlanticum	Schima wallichii
Thunbergia mysorensis	Papaver armeniacum	Schima superba
Thunbergia laurifolia	Panicum virgatum	Scaevola taccada
Thunbergia battiscombei	Panicum miliaceum	Scabiosa columbaria
Thunbergia alata	Panicum hallii	Saxifraga stolonifera
Thuja plicata	Pandanus amaryllifolius	Saussurea amara
Thuja occidentalis	Panax notoginseng	Saururus chinensis
Thryallis latifolia	Panax ginseng	Sassafras albidum
Thomandersia laurifolia	Paeonia lactiflora	Sarcobatus vermiculatus
Thlaspi arvense	Pachyrhizus erosus	Saposhnikovia divaricata
Thevetia peruviana	Ottelia alismoides	Saponaria officinalis
Thermopsis montana	Osmanthus fragrans	Sanvitalia procumbens
Theobroma grandiflorum	Oryza sativa	Sansevieria trifasciata
Theobroma cacao	Oryza longistaminata	Sansevieria cylindrica
Thalictrum thalictroides	Oryza glaberrima	Sanguisorba minor
Thalictrum minus	Oryza barthii	Sanguinaria canadensis
Thalictrum foliolosum	Orobanche hederae	Sambucus williamsii
Thalictrum dioicum	Orobanche coerulescens	Sambucus nigra
Thalictrum delavayi	Ormosia henryi	Sambucus javanica
Teucrium veronicoides	Origanum vulgare	Sambucus canadensis
Teucrium scorodonia	Olea europaea	Salvia splendens
Teucrium montanum	Oenothera biennis	Salvia sclarea
Tetrastigma strumarum	Ocimum tenuiflorum	Salvia rosmarinus
Tetrastigma cruciatum	Ocimum basilicum	Salvia officinalis
Tetrapterys schiedeana	Nyssa sinensis	Salvia miltiorrhiza
Tetrapterys phlomoides	Nicotiana tomentosiformis	Salvia hispanica
Tetrapterys mucronata	Nicotiana tabacum	Salvia divinorum
Tetrapterys microphylla	Nicotiana sylvestris	Salix nigra
Tetrapterys cardiophylla	Nicotiana rustica	Salix cinerea
Tetrapterys ambigua	Nicotiana glauca	Sageretia thea
Tetrapanax papyrifer	Nicotiana benthamiana	Sacciolepis striata
Tetraneuris herbacea	Nicotiana attenuata	Saccharum officinarum
Tetradium trichotomum	Nicandra physalodes	Ruta graveolens
Tetradium ruticarpum	Nemophila menziesii	Rumex scutatus
Tetradenia riparia	Nelumbo nucifera	Rumex nepalensis
Tetracera indica	Musa velutina	Rumex japonicus
Terminalia tetraphylla	Murraya koenigii	Rumex acetosa
Terminalia phillyreifolia	Mucuna pruriens	Rudbeckia hirta
Terminalia chebula	Morus alba	Rubus parviflorus
Terminalia catappa	Moringa oleifera	Rubus occidentalis
Terminalia calamansanay	Monarda citriodora	Rubus idaeus
Tephrosia virginiana	Momordica charantia	Rubus coreanus
Tectaria heracleifolia	Mitragyna speciosa	Rubus argutus
Tectaria coadunata	Miscanthus floridulus	Rubia tinctorum
Tecoma stans	Mimosa pudica	Rotheca myricoides
Taxus chinensis	Mercurialis annua	Rosa rugosa
Taxus brevifolia	Mentha suaveolens	Rosa palustris
Taxus baccata	Mentha aquatica	Rosa multiflora
Taxotrophis ilicifolia	Melilotus officinalis	Rosa laevigata
Tasmannia piperita	Melia azedarach	Rosa chinensis
Tarenaya hassleriana	Melaleuca alternifolia	Rohdea japonica
Taraxacum platycarpum	Medicago truncatula	Robinia pseudoacacia
Taraxacum officinale	Medicago sativa	Rivina humilis
Tara spinosa	Medicago lupulina	Ricinus communis
Tapirira guianensis	Matricaria chamomilla	Riccia cavernosa
Tanacetum vulgare	Marsdenia floribunda	Ribes uva-crispa
Tanacetum parthenium	Marchantia polymorpha	Ribes nigrum
Tanacetum coccineum	Manihot esculenta	Ribes cynosbati
Tanacetum balsamita	Mangifera indica	Rhus coriaria
Tamilnadia uliginosa	Malva sylvestris	Rhus chinensis
Tambourissa amplifolia	Malva neglecta	Rhododendron tomentosum
Tamarix chinensis	Malus sylvestris	Rhododendron arborescens
Talipariti tiliaceum	Malus sieversii	Rhodiola rosea
Talinum paniculatum	Malus niedzwetzkyana	Rhodiola kirilowii
Talinum fruticosum	Malus floribunda	Rhizophora mangle
Tagetes patula	Malus domestica	Rhizophora apiculata
Tagetes erecta	Mallotus nudiflorus	Rheum rhabarbarum
Tachigali versicolor	Malania oleifera	Rheum palmatum
Tachigali alba	Magnolia virginiana	Rheum officinale
Tabernaemontana muricata	Magnolia officinalis	Rhaphiolepis indica
Tabernaemontana flavicans	Macleaya cordata	Reynoutria japonica
Tabernaemontana crassa	Macadamia integrifolia	Rehmannia glutinosa
Tabernaemontana coffeoides	Lycium barbarum	Ratibida columnifera
Tabernaemontana arborea	Lupinus luteus	Raphanus sativus
Syzygium samarangense	Lupinus albus	Ranunculus acris
Syzygium malaccense	Luffa aegyptiaca	Randia armata
Syzygium jambos	Luffa acutangula	Radula complanata
Syzygium cumini	Lonicera maackii	Quercus velutina
Syzygium buxifolium	Lonicera japonica	Quercus suber
Syzygium aromaticum	Lolium rigidum	Quercus stellata
Syringodium filiforme	Lolium perenne	Quercus rubra
Synsepalum dulcificum	Lolium multiflorum	Quercus phellos
Symplocos setchuensis	Lobelia cardinalis	Quercus petraea
Symplocos ramosissima	Lithospermum erythrorhizon	Quercus muehlenbergii
Symplocos quitensis	Lithocarpus litseifolius	Quercus michauxii
Symphytum officinale	Litchi chinensis	Quercus marilandica
Symphyotrichum dumosum	Liquidambar styraciflua	Quercus lobata
Symphonia globulifera	Liquidambar formosana	Quercus ilex
Swietenia macrophylla	Lippia alba	Quercus glauca
Swietenia humilis	Linum usitatissimum	Quercus falcata
Swertia davidii	Linum trigynum	Quercus alba
Swertia chirayita	Linum perenne	Quassia amara
Swertia bimaculata	Linum grandiflorum	Quararibea asterolepis
Sweetia fruticosa	Lindera aggregata	Qualea grandiflora
Swartzia simplex	Linaria vulgaris	Pyrus communis
Suregada zanzibariensis	Ligustrum vulgare	Pycnanthemum tenuifolium
Suregada procera	Leucaena leucocephala	Punica granatum
Succisa pratensis	Lepidium sativum	Pulsatilla vulgaris
Suaeda calceoliformis	Lepidium apetalum	Pueraria montana
Styrax pentlandianus	Leontodon hispidus	Pteridium aquilinum
Styrax benzoin	Lavandula angustifolia	Psychotria marginata
Styphnolobium japonicum	Laurus nobilis	Psychotria grandis
Stylosanthes scabra	Lathyrus sativus	Psophocarpus tetragonolobus
Stylosanthes biflora	Lathyrus oleraceus	Psilotum nudum
Stylogyne turbacensis	Lapsana communis	Psidium guajava
Stylidium debile	Lanxangia tsao-ko	Pseudotsuga menziesii
Stryphnodendron pulcherrimum	Lamium purpureum	Pseudocydonia sinensis
Stryphnodendron guianense	Lagenaria siceraria	Prunus virginiana
Stryphnodendron adstringens	Lactuca virosa	Prunus serotina
Strychnos umbellata	Lactuca sativa	Prunus persica
Strychnos nux-vomica	Lactuca saligna	Prunus mume
Strychnos madagascariensis	Laburnum anagyroides	Prunus mongolica
Strychnos ignatii	Lablab purpureus	Prunus jamasakura
Strychnos decussata	Kitagawia praeruptora	Prunus humilis
Strophostyles helvola	Khaya senegalensis	Prunus dulcis
Strophanthus hispidus	Juniperus thurifera	Prunus domestica
Strophanthus gratus	Juniperus oxycedrus	Prunus cerasus
Strombosia grandifolia	Juncus effusus	Prunus avium
Streptocaulon juventas	Juglans sigillata	Prunus armeniaca
Strelitzia reginae	Juglans regia	Prunus americana
Stranvaesia davidiana	Juglans nigra	Prunus africana
Stixis scandens	Juglans cinerea	Prunella vulgaris
Stigmaphyllon vitifolium	Juglans cathayensis	Protium tenuifolium
Stigmaphyllon urenifolium	Jatropha podagrica	Primula vulgaris
Stigmaphyllon tomentosum	Jatropha multifida	Primula veris
Stigmaphyllon sinuatum	Jasminum sambac	Potentilla lineata
Stigmaphyllon saxicola	Jacobaea vulgaris	Potamogeton perfoliatus
Stigmaphyllon salzmannii	Jacaranda mimosifolia	Portulaca oleracea
Stigmaphyllon puberulum	Jacaranda copaia	Portulaca grandiflora
Stigmaphyllon paralias	Isatis tinctoria	Populus trichocarpa
Stigmaphyllon palmatum	Iris sibirica	Populus tremuloides
Stigmaphyllon macropodum	Iris pallida	Populus nigra
Stigmaphyllon lalandianum	Ipomoea triloba	Populus grandidentata
Stigmaphyllon hatschbachii	Ipomoea purpurea	Populus deltoides
Stigmaphyllon harleyi	Ipomoea nil	Populus alba
Stigmaphyllon gayanum	Ipomoea batatas	Polytrichum strictum
Stigmaphyllon convolvulifolium	Inula conyza	Polytrias indica
Stigmaphyllon ciliatum	Inga oerstediana	Polystichum acrostichoides
Stigmaphyllon cavernulosum	Inga leiocalycina	Polypodium vulgare
Stigmaphyllon caatingicola	Inga laurina	Polygonum cuspidatum
Stigmaphyllon bonariense	Impatiens balsamina	Polygonum aviculare
Stigmaphyllon blanchetii	Ilex paraguariensis	Polygonatum sibiricum
Stigmaphyllon auriculatum	Ilex aquifolium	Polygonatum odoratum
Stigmaphyllon angustilobum	Hypnum cupressiforme	Polygonatum multiflorum
Stigmaphyllon alternifolium	Hypericum perforatum	Polygonatum cyrtonema
Stigmaphyllon acuminatum	Hypericum hirsutum	Polygala tenuifolia
Stevia rebaudiana	Hydrangea macrophylla	Polemonium caeruleum
Stereospermum neuranthum	Hura crepitans	Pogostemon cablin
Stereospermum acuminatissimum	Humulus lupulus	Podophyllum peltatum
Sterculia pexa	Houttuynia cordata	Podocarpus oleifolius
Sterculia lanceolata	Hordeum vulgare	Podocarpus macrophyllus
Stephania venosa	Homalomena aromatica	Podocarpus celatus
Stephania rotunda	Hippophae rhamnoides	Poa pratensis
Stephania japonica	Hibiscus syriacus	Plumeria rubra
Stenochlaena palustris	Hibiscus sabdariffa	Plumbago indica
Stemona japonica	Hibiscus cannabinus	Pluchea indica
Stellera chamaejasme	Heracleum sphondylium	Pleurolobus gangeticus
Stellaria alsine	Hemerocallis citrina	Plectranthus barbatus
Steinchisma laxum	Helwingia omeiensis	Platycodon grandiflorus
Stauntonia brunoniana	Helianthus tuberosus	Platycladus orientalis
Staudtia kamerunensis	Helianthus annuus	Platanus occidentalis
Staphylea trifolia	Hedychium gardnerianum	Plantago lanceolata
Stapelia gigantea	Hedychium coronarium	Pittosporum tobira
Stachyurus praecox	Hedera helix	Pistia stratiotes
Stachytarpheta cayennensis	Handroanthus impetiginosus	Pistacia vera
Squamellaria kajewskii	Handroanthus guayacan	Pistacia lentiscus
Sporobolus anglicus	Hamamelis virginiana	Pistacia chinensis
Spondias pinnata	Gypsophila vaccaria	Piper sarmentosum
Spirolobium cambodianum	Gynostemma pentaphyllum	Piper retrofractum
Spirodela polyrhiza	Gynochthodes officinalis	Piper nigrum
Spiraea aquilegiifolia	Gynandropsis gynandra	Piper methysticum
Spinacia oleracea	Gossypium trilobum	Piper longum
Sphedamnocarpus angolensis	Gossypium tomentosum	Piper betle
Sphagneticola trilobata	Gossypium stocksii	Piper auritum
Sphagneticola calendulacea	Gossypium raimondii	Pinus virginiana
Spermacoce alata	Gossypium mustelinum	Pinus taeda
Spathodea campanulata	Gossypium lobatum	Pinus tabuliformis
Spathiphyllum wallisii	Gossypium klotzschianum	Pinus sylvestris
Sparganium stoloniferum	Gossypium hirsutum	Pinus strobus
Souroubea guianensis	Gossypium herbaceum	Pinus radiata
Sorocea guilleminiana	Gossypium gossypioides	Pinus pungens
Sorocea affinis	Gossypium davidsonii	Pinus pinaster
Sorghum bicolor	Gossypium darwinii	Pinus nigra
Sorbus aucuparia	Gossypium barbadense	Pinus merkusii
Sophora viciifolia	Gossypium australe	Pinus longaeva
Sophora tonkinensis	Gossypium armourianum	Pinus halepensis
Sophora flavescens	Gossypium aridum	Pinus flexilis
Sonchus oleraceus	Gossypium arboreum	Pinus fenzeliana
Solidago virgaurea	Gossypium anomalum	Pinus densiflora
Solena amplexicaulis	Glycyrrhiza uralensis	Pinus banksiana
Solanum verrucosum	Glycine soja	Pinellia ternata
Solanum umbelliferum	Glycine max	Picrasma quassioides
Solanum tuberosum	Gleditsia sinensis	Picea pungens
Solanum swartzianum	Glechoma hederacea	Picea mariana
Solanum stramoniifolium	Ginkgo biloba	Picea glauca
Solanum sessiliflorum	Geum urbanum	Picea engelmannii
Solanum sakhanii	Geum rivale	Picea abies
Solanum quitoense	Geranium pratense	Phytolacca americana
Solanum pseudoquina	Geranium maculatum	Phytolacca acinosa
Solanum pinnatisectum	Gentiana macrophylla	Physalis peruviana
Solanum pimpinellifolium	Gaultheria shallon	Physalis angulata
Solanum peruvianum	Gastrodia elata	Phyllostachys nigra
Solanum pennellii	Gardenia jasminoides	Phyla dulcis
Solanum ochrophyllum	Fraxinus pennsylvanica	Phtheirospermum japonicum
Solanum nigrum	Fraxinus nigra	Phragmites australis
Solanum melongena	Fraxinus excelsior	Photinia glabra
